Kaltmiete,Wohnfläche,Zimmer,Baujahr,möbliert,PLZ,WG,Quelle
950,89.7,3,2019,nein,96450,nein,IS24
690,120,5,1900,nein,96450,nein,IS24
580,34,1,,ja,96450,nein,IS24
800,170,5,1835,nein,96450,nein,IS24
990,81,3.5,1741,nein,96450,nein,IS24
690,65,2.5,1741,nein,96450,nein,IS24
530,76,3,1914,nein,96450,nein,IS24
200,9,1,,nein,96450,ja,IS24
410,66,2,,nein,96450,nein,IS24
700,100,3.5,1900,nein,96450,nein,IS24
695,81,3,1914,nein,96450,nein,IS24
800,101,2,1867,nein,96450,nein,IS24
480,83,3,,nein,96450,nein,IS24
280,35,1,,nein,96450,nein,IS24
495,70,3,,nein,96450,nein,IS24
310,19,2,,ja,96450,ja,WGG
279,14,1,,nein,96450,ja,WGG
265,15,1,,ja,96450,ja,WGG
313,20,1,,teil,96450,ja,WGG
280,14,1,,ja,96450,ja,WGG
335,18,1,,teil,96450,ja,WGG
180,16,1,,ja,96450,ja,WGG
240,18,1,,nein,96450,ja,WGG
310,30,1,,nein,96450,ja,WGG
